id,comment,position,stakeholder,channel
1,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。,条件付き賛成,一般利用者,Webフォーム
2,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。,賛成,一般利用者,紙提出
3,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。,反対,市民団体,Webフォーム
4,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。,条件付き賛成,地域団体,説明会
5,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。,反対,子育て団体,Webフォーム
6,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。,反対,自治会,紙提出
7,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。,条件付き賛成,高齢者団体,説明会
8,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。,条件付き賛成,支援団体,Webフォーム
9,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。,説明不足,一般利用者,Webフォーム
10,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。,説明不足,市民団体,紙提出
11,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。,手続き懸念,地域団体,説明会
12,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。,代替案提案,一般利用者,Webフォーム
13,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 2）,条件付き賛成,一般利用者,Webフォーム
14,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 2）,賛成,一般利用者,紙提出
15,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 2）,反対,市民団体,Webフォーム
16,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 2）,条件付き賛成,地域団体,説明会
17,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 2）,反対,子育て団体,Webフォーム
18,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 2）,反対,自治会,紙提出
19,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 2）,条件付き賛成,高齢者団体,説明会
20,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 2）,条件付き賛成,支援団体,Webフォーム
21,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 2）,説明不足,一般利用者,Webフォーム
22,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 2）,説明不足,市民団体,紙提出
23,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 2）,手続き懸念,地域団体,説明会
24,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 2）,代替案提案,一般利用者,Webフォーム
25,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 3）,条件付き賛成,一般利用者,Webフォーム
26,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 3）,賛成,一般利用者,紙提出
27,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 3）,反対,市民団体,Webフォーム
28,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 3）,条件付き賛成,地域団体,説明会
29,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 3）,反対,子育て団体,Webフォーム
30,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 3）,反対,自治会,紙提出
31,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 3）,条件付き賛成,高齢者団体,説明会
32,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 3）,条件付き賛成,支援団体,Webフォーム
33,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 3）,説明不足,一般利用者,Webフォーム
34,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 3）,説明不足,市民団体,紙提出
35,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 3）,手続き懸念,地域団体,説明会
36,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 3）,代替案提案,一般利用者,Webフォーム
37,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 4）,条件付き賛成,一般利用者,Webフォーム
38,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 4）,賛成,一般利用者,紙提出
39,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 4）,反対,市民団体,Webフォーム
40,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 4）,条件付き賛成,地域団体,説明会
41,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 4）,反対,子育て団体,Webフォーム
42,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 4）,反対,自治会,紙提出
43,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 4）,条件付き賛成,高齢者団体,説明会
44,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 4）,条件付き賛成,支援団体,Webフォーム
45,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 4）,説明不足,一般利用者,Webフォーム
46,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 4）,説明不足,市民団体,紙提出
47,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 4）,手続き懸念,地域団体,説明会
48,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 4）,代替案提案,一般利用者,Webフォーム
49,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 5）,条件付き賛成,一般利用者,Webフォーム
50,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 5）,賛成,一般利用者,紙提出
51,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 5）,反対,市民団体,Webフォーム
52,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 5）,条件付き賛成,地域団体,説明会
53,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 5）,反対,子育て団体,Webフォーム
54,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 5）,反対,自治会,紙提出
55,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 5）,条件付き賛成,高齢者団体,説明会
56,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 5）,条件付き賛成,支援団体,Webフォーム
57,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 5）,説明不足,一般利用者,Webフォーム
58,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 5）,説明不足,市民団体,紙提出
59,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 5）,手続き懸念,地域団体,説明会
60,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 5）,代替案提案,一般利用者,Webフォーム
61,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 6）,条件付き賛成,一般利用者,Webフォーム
62,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 6）,賛成,一般利用者,紙提出
63,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 6）,反対,市民団体,Webフォーム
64,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 6）,条件付き賛成,地域団体,説明会
65,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 6）,反対,子育て団体,Webフォーム
66,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 6）,反対,自治会,紙提出
67,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 6）,条件付き賛成,高齢者団体,説明会
68,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 6）,条件付き賛成,支援団体,Webフォーム
69,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 6）,説明不足,一般利用者,Webフォーム
70,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 6）,説明不足,市民団体,紙提出
71,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 6）,手続き懸念,地域団体,説明会
72,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 6）,代替案提案,一般利用者,Webフォーム
73,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 7）,条件付き賛成,一般利用者,Webフォーム
74,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 7）,賛成,一般利用者,紙提出
75,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 7）,反対,市民団体,Webフォーム
76,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 7）,条件付き賛成,地域団体,説明会
77,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 7）,反対,子育て団体,Webフォーム
78,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 7）,反対,自治会,紙提出
79,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 7）,条件付き賛成,高齢者団体,説明会
80,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 7）,条件付き賛成,支援団体,Webフォーム
81,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 7）,説明不足,一般利用者,Webフォーム
82,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 7）,説明不足,市民団体,紙提出
83,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 7）,手続き懸念,地域団体,説明会
84,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 7）,代替案提案,一般利用者,Webフォーム
85,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 8）,条件付き賛成,一般利用者,Webフォーム
86,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 8）,賛成,一般利用者,紙提出
87,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 8）,反対,市民団体,Webフォーム
88,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 8）,条件付き賛成,地域団体,説明会
89,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 8）,反対,子育て団体,Webフォーム
90,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 8）,反対,自治会,紙提出
91,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 8）,条件付き賛成,高齢者団体,説明会
92,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 8）,条件付き賛成,支援団体,Webフォーム
93,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 8）,説明不足,一般利用者,Webフォーム
94,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 8）,説明不足,市民団体,紙提出
95,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 8）,手続き懸念,地域団体,説明会
96,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 8）,代替案提案,一般利用者,Webフォーム
97,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 9）,条件付き賛成,一般利用者,Webフォーム
