id,comment,stakeholder,area,age_group,channel
1,駅前の病院へ行く便が昼前に集中しており、診察が長引くと帰りの足がなくなります。午後にも高齢者が安心して使える便を残してほしいです。,高齢者・免許返納者,郊外住宅地,70代,紙アンケート
2,免許を返してから買い物が一番困っています。週に数回でもスーパーと薬局を回る小型バスがあれば、家族に頼らず暮らせます。,高齢者・免許返納者,中山間地域,80代,民生委員聞き取り
3,予約制の乗合交通は便利そうですが、電話が混んでいると不安です。前日までに予約でき、変更も簡単に伝えられる仕組みにしてほしいです。,高齢者・免許返納者,農村集落,70代,電話相談
4,バス停まで歩く距離が長く、雨の日や冬場は転倒が心配です。集落内にもう少し細かく停車場所を設けるか、玄関先に近い乗降を検討してほしいです。,高齢者・免許返納者,山あい地区,80代,地域説明会
5,時刻表が変わっても掲示だけでは気づきません。自治会の回覧や広報紙で、乗り継ぎ例まで具体的に知らせてもらえると使いやすいです。,高齢者・免許返納者,旧市街,70代,紙アンケート
6,病院からコミュニティバスへ乗り継ぐ時間が短く、会計で少し遅れると一時間待ちになります。利用者の動きに合わせた余裕が必要です。,高齢者・免許返納者,中心市街地,80代,窓口投稿
7,家族が働いている時間帯に移動できないと、結局タクシー代が重くなります。少人数でも利用できる昼間の便を削りすぎないでください。,高齢者・免許返納者,郊外団地,70代,紙アンケート
8,スマートフォンで予約と言われても操作に自信がありません。電話、紙の申込、家族による代理予約など複数の方法を用意してほしいです。,高齢者・免許返納者,沿岸部,80代,地域説明会
9,朝の便は学生で混み、杖を持って立つのが怖い時があります。高齢者の通院時間と通学時間が重なりすぎない調整をお願いしたいです。,高齢者・免許返納者,駅周辺,70代,電話相談
10,バスが遅れているのか、もう通過したのか分からないことがあります。停留所や電話で現在の運行状況を確認できると安心して待てます。,高齢者・免許返納者,農村集落,70代,紙アンケート
11,免許返納後の割引制度はありがたいですが、どの路線で使えるのか分かりにくいです。制度と使い方を一枚で見られる案内がほしいです。,高齢者・免許返納者,中心市街地,80代,窓口投稿
12,買い物帰りは荷物が多く、乗り継ぎで長く歩くのが負担です。商業施設と自宅方面を結ぶ便は、短い距離でも直行に近い形が助かります。,高齢者・免許返納者,郊外住宅地,70代,民生委員聞き取り
13,朝のバスが一本遅れると始業に間に合いません。通勤時間帯だけでも本数を確保し、鉄道との接続を時刻表上で分かりやすくしてほしいです。,通勤通学者・保護者,駅周辺,40代,Webアンケート
14,子どもの部活後に帰れる便が少なく、迎えに行けない日は不安です。夕方以降の通学利用を想定した運行を見直してほしいです。,通勤通学者・保護者,郊外住宅地,40代,PTA経由
15,保育園の送迎と出勤を両立するには、バス停の位置と時刻が合いません。子育て世帯の移動経路も調査してルートを考えてほしいです。,通勤通学者・保護者,新興住宅地,30代,Webアンケート
16,乗り継ぎ前提でもよいですが、待ち時間が二十分を超えると車を選びます。主要停留所では接続便をそろえ、遅延時の扱いも決めてください。,通勤通学者・保護者,中心市街地,30代,Webアンケート
17,アプリで時刻検索できると助かりますが、学校から配られる紙の案内も必要です。家庭によって情報の受け取り方が違うことを考えてほしいです。,通勤通学者・保護者,学区全域,40代,PTA経由
18,雨の日は自転車通学ができず、バスに集中して乗り切れないことがあります。天候による需要増を見込んだ臨時便や混雑情報が必要です。,通勤通学者・保護者,郊外団地,10代,学校アンケート
19,予約型交通は柔軟ですが、通勤では毎回予約する手間が負担です。定期利用者向けに曜日固定の予約やキャンセル通知を整えてほしいです。,通勤通学者・保護者,農村集落,50代,Webアンケート
20,帰宅時間が残業で変わるため、最終便が早いと利用を諦めます。毎日でなくても、平日の夜に選択肢が残る運行にしてほしいです。,通勤通学者・保護者,工業団地周辺,30代,Webアンケート
21,高校への直通便がなく、乗り換えでかなり遠回りになります。生徒数の多い方面だけでも登下校時間に合わせた短絡ルートを検討してください。,通勤通学者・保護者,中山間地域,10代,学校アンケート
22,時刻表が複数の会社に分かれていて、初めて使う人には分かりません。市のサイトで目的地別に検索できる統一案内がほしいです。,通勤通学者・保護者,市内全域,40代,Webアンケート
23,子どもだけで乗る場合、予約型交通の乗車場所や運転手への伝え方が心配です。保護者へ事前に分かる確認通知を出してほしいです。,通勤通学者・保護者,郊外住宅地,30代,PTA経由
24,駅までの短い移動でも、朝は道路が混んでバスの時間が読めません。遅延を前提にした接続案内やリアルタイム表示を整備してください。,通勤通学者・保護者,駅周辺,50代,Webアンケート
