id,comment,area,age_group
1,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。,北部,70代以上
2,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。,西部,60代
3,部活後に帰れるバスがなく、保護者の迎えが前提になっています。,東部,10代
4,駅から高校方面への便が少なく、雨の日は特に混雑します。,中央,10代
5,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。,南部,40代
6,夕方の便が少なく、駅前で長く待つことになります。,中央,30代
7,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。,東部,50代
8,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。,北部,60代
9,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。,南部,30代
10,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。,西部,40代
11,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。,中央,50代
12,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。,東部,20代
13,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 2）,北部,70代以上
14,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 2）,西部,60代
15,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 2）,東部,10代
16,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 2）,中央,10代
17,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 2）,南部,40代
18,夕方の便が少なく、駅前で長く待つことになります。（同種意見 2）,中央,30代
19,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 2）,東部,50代
20,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 2）,北部,60代
21,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 2）,南部,30代
22,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 2）,西部,40代
23,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 2）,中央,50代
